group_id,item_id,block,item,signal,sem_relatedness,phon_relatedness,path,image_file,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,key_resp.rt,key_resp.duration,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,thisRow.t,notes,next_trial.started,key_resp_2.started,continue_text.started,next_trial.stopped,trial.started,text.started,text_2.started,text.stopped,text_2.stopped,image.started,key_resp.started,signal_text.started,signal_text.stopped,image.stopped,key_resp.stopped,trial.stopped,test.key_resp.keys,test.key_resp_2.keys,test.key_resp_2.rt,test.key_resp_2.duration,test.key_resp.rt,test.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,f,7.038213000021642,None,,,,,,,,,0.004251042002579197,0.008449041983112693,0.008449041983112693,7.246670791995712,,,,,,,,,,,,,,,,,,,634963,001,2025-11-21_10h57.08.471,untitled,,2025.1.1,None,2025-11-21 10h57.15.799634 -0800,
2,2,go,apple,none,none,none,images/006 .bmp,006 .bmp,0,0,0,None,f,1.1538870829972439,None,,,0,0,0,1,7.280904583982192,,10.24242399999639,10.247708374983631,10.247708374983631,11.407343124999898,7.256558875000337,7.280904583982192,7.738824250001926,7.77047112499713,8.224126083980082,8.247071624995442,8.247071624995442,8.644873833982274,10.24192270898493,10.247708374983631,10.247708374983631,10.242317333992105,None,f,1.1538870829972439,None,,,634963,001,2025-11-21_10h57.08.471,untitled,,2025.1.1,None,2025-11-21 10h57.15.799634 -0800,
3,3,go,apple,none,none,none,images/006 .bmp,006 .bmp,1,1,0,None,f,0.7040684169915039,None,,,0,1,1,2,11.416826792003121,,14.399335374997463,14.40350899999612,14.40350899999612,15.119946999999229,11.408689333999064,11.416826792003121,11.90664800000377,11.90664800000377,12.396239833993604,12.396239833993604,12.396239833993604,12.811352833989076,14.40350899999612,14.398627749993466,14.398627749993466,14.399244624975836,None,f,0.7040684169915039,None,,,634963,001,2025-11-21_10h57.08.471,untitled,,2025.1.1,None,2025-11-21 10h57.15.799634 -0800,
20,20,go-signal,basket,basket,same,same,images/020 .bmp,020 .bmp,2,2,0,space,f,0.4344463750021532,None,1.4051447499950882,None,0,2,2,19,15.142841624998255,,17.5274530419847,17.53175649998593,17.53175649998593,17.981554250000045,15.134888417000184,15.142841624998255,15.61361008399399,15.632192249991931,16.114258791989414,16.120130666997284,16.120130666997284,16.517833333986346,,,,17.52735937500256,space,f,0.4344463750021532,None,1.4051447499950882,None,634963,001,2025-11-21_10h57.08.471,untitled,,2025.1.1,None,2025-11-21 10h57.15.799634 -0800,
10,10,go,basket,none,none,none,images/020 .bmp,020 .bmp,3,3,0,None,f,0.2403664169833064,None,,,0,3,3,9,17.996686708997004,,20.97906954199425,20.983054916985566,20.983054916985566,21.235849124990636,17.987903375003953,17.996686708997004,18.477737374982098,18.495817333983723,18.965979500004323,18.971002416976262,18.971002416976262,19.38329195897677,20.983054916985566,20.96398699999554,20.96398699999554,20.97898441698635,None,f,0.2403664169833064,None,,,634963,001,2025-11-21_10h57.08.471,untitled,,2025.1.1,None,2025-11-21 10h57.15.799634 -0800,
24,24,go-signal,basket,basket,same,same,images/020 .bmp,020 .bmp,4,4,0,None,f,0.8277600829896983,None,,,0,4,4,23,21.250738208997063,,24.221461583976634,24.233853583980817,24.233853583980817,25.064728625002317,21.242229333991418,21.250738208997063,21.729694334004307,21.749880958988797,22.228039041976444,22.228039041976444,22.228039041976444,22.635632208985044,24.233853583980817,24.215458791994024,24.215458791994024,24.221395583997946,None,f,0.8277600829896983,None,,,634963,001,2025-11-21_10h57.08.471,untitled,,2025.1.1,None,2025-11-21 10h57.15.799634 -0800,
23,23,go-signal,basket,basket,same,same,images/020 .bmp,020 .bmp,5,5,0,None,f,0.5653155409963802,None,,,0,5,5,22,25.07630962500116,,28.039206458983244,28.055482249998022,28.055482249998022,28.622746666980674,25.06809304197668,25.07630962500116,25.567639208980836,25.567639208980836,26.05708041699836,26.053507292002905,26.053507292002905,26.45573304197751,28.051847541995812,28.051847541995812,28.051847541995812,28.039142875000834,None,f,0.5653155409963802,None,,,634963,001,2025-11-21_10h57.08.471,untitled,,2025.1.1,None,2025-11-21 10h57.15.799634 -0800,
6,6,go,apple,none,none,none,images/006 .bmp,006 .bmp,6,6,0,None,f,0.6444022079813294,None,,,0,6,6,5,28.638499458989827,,31.618163584003923,31.621893083996838,31.621893083996838,32.28017312497832,28.63031774997944,28.638499458989827,29.113282584003173,29.131117416982306,29.60364629200194,29.62218062498141,29.62218062498141,30.01363083400065,31.603902874980122,31.621893083996838,31.621893083996838,31.618088791990886,None,f,0.6444022079813294,None,,,634963,001,2025-11-21_10h57.08.471,untitled,,2025.1.1,None,2025-11-21 10h57.15.799634 -0800,
18,18,go-signal,apple,apple,same,same,images/006 .bmp,006 .bmp,7,7,0,None,f,5.545182165980805,None,,,0,7,7,17,32.2991872089915,,35.277125333988806,35.28104483400239,35.28104483400239,40.83277799998177,32.290742958983174,32.2991872089915,32.777196458977414,32.787612541986164,33.27748383398284,33.28377987499698,33.28377987499698,33.670936666982016,35.263179375004256,35.28104483400239,35.28104483400239,35.27705187498941,None,f,5.545182165980805,None,,,634963,001,2025-11-21_10h57.08.471,untitled,,2025.1.1,None,2025-11-21 10h57.15.799634 -0800,
15,15,go-signal,apple,apple,same,same,images/006 .bmp,006 .bmp,8,8,0,,,,,,,0,8,8,14,40.844647083984455,,,,,,40.83616216699011,40.844647083984455,41.322184333985206,41.33903816700331,41.80957462498918,41.834339875000296,41.834339875000296,42.22085104198777,43.80936349998228,43.83030083400081,43.83030083400081,,,,,,,,,,,,,,,,
