group_id,item_id,block,item,signal,sem_relatedness,phon_relatedness,path,image_file,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,thisRow.t,notes,next_trial.started,key_resp_2.started,continue_text.started,next_trial.stopped,trial.started,text.started,text_2.started,text.stopped,text_2.stopped,image.started,key_resp.started,signal_text.started,signal_text.stopped,trial.stopped,test.key_resp.keys,test.key_resp_2.keys,test.key_resp_2.rt,test.key_resp_2.duration,image.stopped,key_resp.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,f,3.7460850829957053,None,,,,,,,0.03518291699583642,0.046980957995401695,0.046980957995401695,3.9856820830027573,,,,,,,,,,,,,,,,,pilot,001,2025-11-21_10h53.31.194,untitled,,2025.1.1,None,2025-11-21 10h53.35.149886 -0800,
13,13,go-signal,apple,apple,same,same,images/006 .bmp,006 .bmp,0,0,0,None,f,0.6035187079978641,None,0,0,0,12,4.0316547919937875,,6.988579791999655,6.990255125012482,6.990255125012482,7.6060024999897,4.005399749992648,4.0316547919937875,4.48254095800803,4.528506667003967,4.9784993329958525,4.991655707999598,4.991655707999598,5.373729832994286,6.970365417015273,6.988519750011619,None,f,0.6035187079978641,None,,,pilot,001,2025-11-21_10h53.31.194,untitled,,2025.1.1,None,2025-11-21 10h53.35.149886 -0800,
24,24,go-signal,basket,basket,same,same,images/020 .bmp,020 .bmp,1,1,0,None,f,0.6891523750091437,None,0,1,1,23,7.618381083011627,,10.588584625016665,10.603485750005348,10.603485750005348,11.305761625000741,7.610342667001532,7.618381083011627,8.103547500009881,8.106725582998479,8.590017957991222,8.603506957995705,8.603506957995705,9.003584707999835,10.589963792008348,10.5885501250159,None,f,0.6891523750091437,None,10.589963792008348,10.589963792008348,pilot,001,2025-11-21_10h53.31.194,untitled,,2025.1.1,None,2025-11-21 10h53.35.149886 -0800,
23,23,go-signal,basket,basket,same,same,images/020 .bmp,020 .bmp,2,2,0,None,f,0.3451691250083968,None,0,2,2,22,11.310031250002794,,14.288265208015218,14.303424707992235,14.303424707992235,14.655883166997228,11.306957958004205,11.310031250002794,11.798257832997479,11.798257832997479,12.295103792013833,12.298371250013588,12.298371250013588,12.698581333010225,14.291297874995507,14.288229500001762,None,f,0.3451691250083968,None,14.291297874995507,14.291297874995507,pilot,001,2025-11-21_10h53.31.194,untitled,,2025.1.1,None,2025-11-21 10h53.35.149886 -0800,
11,11,go,basket,None,none,none,images/020 .bmp,020 .bmp,3,3,0,None,f,0.3096640409785323,None,0,3,3,10,14.661640708014602,,17.646740666998085,17.648423875012668,17.648423875012668,17.96385395800462,14.658377542014932,14.661640708014602,15.148553958017146,15.148553958017146,15.640652292000595,15.653508499992313,15.653508499992313,16.05345941701671,17.648423875012668,17.64670362501056,None,f,0.3096640409785323,None,17.648423875012668,17.648423875012668,pilot,001,2025-11-21_10h53.31.194,untitled,,2025.1.1,None,2025-11-21 10h53.35.149886 -0800,
4,4,go,apple,None,none,none,images/006 .bmp,006 .bmp,4,4,0,None,f,3.6925158739904873,None,0,4,4,3,17.970067417016253,,20.941409499995643,20.95662529199035,20.95662529199035,24.650472792010987,17.96680062499945,17.970067417016253,18.4566885830136,18.4566885830136,18.953441707999445,18.956687291996786,18.956687291996786,19.356874207995133,20.953473750007106,20.94137812498957,None,f,3.6925158739904873,None,20.953473750007106,20.953473750007106,pilot,001,2025-11-21_10h53.31.194,untitled,,2025.1.1,None,2025-11-21 10h53.35.149886 -0800,
12,12,go,basket,None,none,none,images/020 .bmp,020 .bmp,5,5,0,,,,,0,5,5,11,24.65715304200421,,27.62945070801652,27.64369079199969,27.64369079199969,,24.653589708002983,24.65715304200421,25.14052499999525,25.153449417004595,25.636813999997685,25.63999004199286,25.63999004199286,26.040262833004817,27.635924542002613,27.62938783300342,None,,,,27.635924542002613,27.635924542002613,,,,,,,,,
